drug_name,drug_page,name,content,len
Sodium calcium edetate,https://en.wikipedia.org/wiki/Sodium_calcium_edetate,Sodium_calcium_edetate,"Sodium calcium edetate (sodium calcium EDTA), also known as edetate calcium disodium among other names, is a medication primarily used to treat lead poisoning, including both short-term and long-term lead poisoning. Sodium calcium edetate came into medical use in the United States in 1953.",44
Isoniazid/rifampicin,https://en.wikipedia.org/wiki/Isoniazid/rifampicin,Isoniazid/rifampicin,"Isoniazid/rifampicin, also known as isoniazid/rifampin, is a medication used to treat tuberculosis. It is a fixed dose combination of isoniazid and rifampicin (rifampin). It is used together with other antituberculosis medication. It is taken by mouth.It is on the World Health Organization's List of Essential Medicines.",46
Ready-to-use therapeutic food,https://en.wikipedia.org/wiki/Ready-to-use_therapeutic_food,Ready-to-use_therapeutic_food,"Therapeutic foods are foods designed for specific, usually nutritional, therapeutic purposes as a form of dietary supplement. The primary examples of therapeutic foods are used for emergency feeding of malnourished children or to supplement the diets of persons with special nutrition requirements, such as the elderly.",46
pibrentasvir,https://en.wikipedia.org/wiki/Pibrentasvir,Pibrentasvir,"Pibrentasvir is an NS5A inhibitor antiviral agent.  In the United States and Europe, it is approved for use with glecaprevir as the combination drug glecaprevir/pibrentasvir (trade name Mavyret in the US and Maviret in the EU) for the treatment of hepatitis C. It is  sold by Abbvie.",50
Daclatasvir/sofosbuvir,https://en.wikipedia.org/wiki/Daclatasvir/sofosbuvir,Daclatasvir/sofosbuvir,"Daclatasvir/sofosbuvir (trade names Darvoni, Sovodak) is a two-drug combination for the treatment of hepatitis C. It is given as a single daily pill containing daclatasvir, a viral NS5A inhibitor, and sofosbuvir, a nucleotide inhibitor of the viral RNA polymerase NS5B.It is on the World Health Organization's List of Essential Medicines.",50
Melphalan,https://en.wikipedia.org/wiki/Melphalan,Melphalan,"Melphalan, sold under the brand name Alkeran among others, is a chemotherapy medication used to treat multiple myeloma; malignant lymphoma; lymphoblastic and myeloblastic leukemia; childhood neuroblastoma; ovarian cancer; mammary adenocarcinoma; and uveal melanoma. It is taken by mouth or by injection into a vein.Common side effects include nausea and bone marrow suppression.",52
Efavirenz/emtricitabine/tenofovir,https://en.wikipedia.org/wiki/Efavirenz/emtricitabine/tenofovir,Efavirenz/emtricitabine/tenofovir,"Efavirenz/emtricitabine/tenofovir, sold under the brand name Atripla among others, is a fixed-dose combination antiretroviral medication used to treat HIV/AIDS. It contains efavirenz, emtricitabine, and tenofovir disoproxil. It can be used by itself or together with other antiretroviral medications. It is taken by mouth.Common side effects include headache, trouble sleeping, sleepiness, and unsteadiness.",52
Valproic acid,https://en.wikipedia.org/wiki/Valproic_acid,Valproic_acid,"Valproate (VPA) and its valproic acid, sodium valproate, and valproate semisodium forms are medications primarily used to treat epilepsy and bipolar disorder and prevent migraine headaches. They are useful for the prevention of seizures in those with absence seizures, partial seizures, and generalized seizures. They can be given intravenously or by mouth,",52
ferrous salt,https://en.wikipedia.org/wiki/Ferrous_salt,Ferrous_salt,"Iron(II) sulfate (British English: iron(II) sulphate) or ferrous sulfate denotes a range of salts with the formula Fe SO4·xH2O. These compounds exist most commonly as the heptahydrate (x = 7) but several values for x are known. The hydrated form is used medically to treat iron deficiency, and also for industrial applications.",52
Acetylcysteine,https://en.wikipedia.org/wiki/Acetylcysteine,Acetylcysteine,"Acetylcysteine, also known as N-acetylcysteine (NAC), is a medication that is used to treat paracetamol overdose and to loosen thick mucus in individuals with chronic bronchopulmonary disorders like pneumonia and bronchitis. It has been used to treat lactobezoar in infants. It can be taken intravenously, by mouth, or inhaled as a mist.",52
Lamivudine,https://en.wikipedia.org/wiki/Lamivudine,Lamivudine,"Lamivudine, commonly called 3TC, is an antiretroviral medication used to prevent and treat HIV/AIDS. It is also used to treat chronic hepatitis B when other options are not possible. It is effective against both HIV-1 and HIV-2. It is typically used in combination with other antiretrovirals such as zidovudine, dolutegravir, and abacavir.",52
Proguanil,https://en.wikipedia.org/wiki/Proguanil,Proguanil,"Proguanil, also known as chlorguanide and chloroguanide, is a medication used to treat and prevent malaria. It is often used together with chloroquine or atovaquone. When used with chloroquine the combination will treat mild chloroquine resistant malaria. It is taken by mouth.Side effects include diarrhea, constipation, skin rashes, hair loss, and itchiness.",52
Primaquine,https://en.wikipedia.org/wiki/Primaquine,Primaquine,Primaquine is a medication used to treat and prevent malaria and to treat Pneumocystis pneumonia. Specifically it is used for malaria due to Plasmodium vivax and Plasmodium ovale along with other medications and for prevention if other options cannot be used. It is an alternative treatment for Pneumocystis pneumonia together with clindamycin.,52
