drug_name,drug_page,name,content
Halothane,https://en.wikipedia.org/wiki/Halothane,Halothane,"Halothane, sold under the brand name Fluothane among others, is a general anaesthetic. It can be used to induce or maintain anaesthesia. One of its benefits is that it does not increase the production of saliva, which can be particularly useful in those who are difficult to intubate. It is given by inhalation.Side effects include an irregular heartbeat, respiratory depression, and hepatotoxicity. Like all volatile anesthetics, it should not be used in people with a personal or family history of malignant hyperthermia. It appears to be safe in porphyria. It is unclear whether its usage during pregnancy is harmful to the fetus, and its use during a C-section is generally discouraged. Halothane is a chiral molecule that is used as a racemic mixture.Halothane was discovered in 1951. It was approved for medical use in the United States in 1958. It is on the World Health Organization's List of Essential Medicines. Its use in developed countries has been mostly replaced by newer anesthetic agents such as sevoflurane. It is no longer commercially available in the United States. Halothane also contributes to ozone depletion."
Isoflurane,https://en.wikipedia.org/wiki/Isoflurane,Isoflurane,"Isoflurane, sold under the brand name Forane among others, is a general anesthetic. It can be used to start or maintain anesthesia; however, other medications are often used to start anesthesia, due to airway irritation with isoflurane. Isoflurane is given via inhalation.Side effects of isoflurane include a decreased ability to breathe (respiratory depression), low blood pressure, and an irregular heartbeat. Serious side effects can include malignant hyperthermia or high blood potassium. It should not be used in patients with a history of malignant hyperthermia in either themselves or their family members. It is unknown if its use during pregnancy is safe for the fetus, but use during a cesarean section appears to be safe. Isoflurane is a halogenated ether.Isoflurane was approved for medical use in the United States in 1979. It is on the World Health Organization's List of Essential Medicines."
Nitrous oxide,https://en.wikipedia.org/wiki/Nitrous_oxide_(medication),Nitrous_oxide_(medication),"Nitrous oxide is an inhaled gas used as a pain medication and together with other medications for anesthesia. Common uses include during childbirth, following trauma, and as part of end-of-life care. Onset of effect is typically within half a minute, and the effect lasts for about a minute.There are few side effects, other than vomiting, with short-term use. With long-term use anemia or numbness may occur. It should always be given with at least 21% oxygen. It is not recommended in people with a bowel obstruction or pneumothorax. Use in the early part of pregnancy is not recommended. It is possible to continue breastfeeding following use.Nitrous oxide was discovered between 1772 and 1793 and used for anesthesia in 1844. It is on the World Health Organization's List of Essential Medicines. It often comes as a 50/50 mixture with oxygen. Devices with a demand valve are available for self-administration. The setup and maintenance is relatively expensive for developing countries."
Oxygen,https://en.wikipedia.org/wiki/Oxygen_therapy,Oxygen_therapy,"Oxygen therapy, also referred to as supplemental oxygen, is the use of oxygen as medical treatment. Supplemental oxygen can also refer to the use of oxygen enriched air at altitude. Acute indications for therapy include hypoxemia (low blood oxygen levels), carbon monoxide toxicity and cluster headache. It may also be prophylactically given to maintain blood oxygen levels during the induction of anesthesia. Oxygen therapy is often useful in chronic hypoxemia caused by conditions such as severe COPD or cystic fibrosis. Oxygen can be delivered via nasal cannula, face mask, or endotracheal intubation  at normal atmospheric pressure, or in a hyperbaric chamber. It can also be given through bypassing the airway, such as in ECMO therapy.
Oxygen is required for normal cellular metabolism. However, excessively high concentrations can result in oxygen toxicity, leading to lung damage and respiratory failure. Higher oxygen concentrations can also increase the risk of airway fires, particularly while smoking. Oxygen therapy can also dry out the nasal mucosa without humidification. In most conditions, an oxygen saturation of 94–96% is adequate, while in those at risk of carbon dioxide retention, saturations of 88–92% are preferred. In cases of carbon monoxide toxicity or cardiac arrest, saturations should be as high as possible. While air is typically 21% oxygen by volume, oxygen therapy can increase O2 content of air up to 100%.The medical use of oxygen first became common around 1917, and is the most common hospital treatment in the developed world. It is currently on the World Health Organization's List of Essential Medicines. Home oxygen can be provided either by oxygen tanks or oxygen concentrator."
Sevoflurane,https://en.wikipedia.org/wiki/Sevoflurane,Sevoflurane,"Sevoflurane, sold under the brand name Sevorane, among others, is a sweet-smelling, nonflammable, highly fluorinated methyl isopropyl ether used as an inhalational anaesthetic for induction and maintenance of general anesthesia. After desflurane, it is the volatile anesthetic with the fastest onset. While its offset may be faster than agents other than desflurane in a few circumstances, its offset is more often similar to that of the much older agent isoflurane. While sevoflurane is only half as soluble as isoflurane in blood, the  tissue blood partition coefficients of isoflurane and sevoflurane are quite similar. For example, in the muscle group: isoflurane 2.62 vs. sevoflurane 2.57. In the fat group: isoflurane 52 vs. sevoflurane 50. As a result, the longer the case, the more similar will be the emergence times for sevoflurane and isoflurane.It is on the World Health Organization's List of Essential Medicines."
Ketamine,https://en.wikipedia.org/wiki/Ketamine,Ketamine,"Ketamine is a dissociative anesthetic used medically for induction and maintenance of anesthesia. It is also used as a treatment for depression, a pain management tool, and as a recreational drug. Ketamine is a novel compound that was derived from phencyclidine in 1962 in pursuit of a safer anesthetic with fewer hallucinogenic effects.At anesthetic doses, ketamine induces a state of dissociative anesthesia, a trance-like state providing pain relief, sedation, and amnesia. The distinguishing features of ketamine as anesthesia are preserved breathing and airway reflexes, stimulated heart function with increased blood pressure, and moderate bronchodilation. At lower, sub-anesthetic doses, ketamine is a promising agent for pain and treatment-resistant depression. As with many antidepressants, the results of a single administration of ketamine wane with time. The long-term effects of repeated use are largely unknown, and are an area of active investigation.Liver and urinary toxicity have been reported among regular users of high doses of ketamine for recreational purposes. Ketamine is an NMDA receptor pore blocker, accounting for most of its actions, but not the antidepressant effect, the mechanism of which is a matter of research and debate.Ketamine was first synthesized in 1962 and approved for use in the United States in 1970. It has been regularly used in veterinary medicine and was extensively used for surgical anesthesia in the Vietnam War. Along with other psychotropic drugs, it is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. When used as a recreational drug, it is found both in powder and liquid form, and is often referred to as ""Special K"" for its hallucinogenic and dissociative effects."
Propofol,https://en.wikipedia.org/wiki/Propofol,Propofol,"Propofol is the active component of an intravenous anesthetic formulation used for induction and maintenance of general anesthesia. It is chemically termed 2,6-diisopropylphenol.  The formulation was originally approved under the brand name Diprivan. Numerous generic offerings of this formulation now exist. Intravenous administration is used to induce unconsciousness after which anesthesia may be maintained using a combination of medications. It is manufactured as part of a sterile injectable emulsion formulation using soybean oil and lecithin, giving it a white milky coloration.Recovery from propofol-induced anesthesia is generally rapid and associated with less frequent side effects (e.g. drowsiness, nausea, vomiting) compared to other anesthetic agents. Propofol may be used prior to diagnostic procedures requiring anesthesia, in the management of refractory status epilepticus, and for induction and/or maintenance of anesthesia prior to and during surgeries. It may be administered as a bolus or an infusion, or some combination of the two.
First synthesized in 1973, by John B. Glen, a British veterinary anesthesiologist working for Imperial Chemical Industries (ICI, now AstraZeneca). In 1986 propofol was introduced for therapeutic use as a lipid emulsion in the United Kingdom and New Zealand. Propofol (Diprivan) received FDA approval in October 1989. It is on the World Health Organization's List of Essential Medicines."
Thiopental,https://en.wikipedia.org/wiki/Thiopental,Thiopental,"Sodium thiopental, also known as Sodium Pentothal (a trademark of Abbott Laboratories), thiopental, thiopentone, or Trapanal (also a trademark), is a rapid-onset short-acting barbiturate general anesthetic. It is the thiobarbiturate analog of pentobarbital, and an analog of thiobarbital. Sodium thiopental was a core medicine in the World Health Organization's List of Essential Medicines, but was supplanted by propofol. Despite this, thiopental is listed as an acceptable alternative to propofol, depending on local availability and cost of these agents. It was previously the first of three drugs administered during most lethal injections in the United States, but the US manufacturer Hospira stopped manufacturing the drug in 2011 and the European Union banned the export of the drug for this purpose. Although thiopental abuse carries a dependency risk, its recreational use is rare."
Bupivacaine,https://en.wikipedia.org/wiki/Bupivacaine,Bupivacaine,"Bupivacaine, marketed under the brand name Marcaine among others, is a medication used to decrease feeling in a specific area. In nerve blocks, it is injected around a nerve that supplies the area, or into the spinal canal's epidural space. It is available mixed with a small amount of epinephrine to increase the duration of its action. It typically begins working within 15 minutes and lasts for 2 to 8 hours.Possible side effects include sleepiness, muscle twitching, ringing in the ears, changes in vision, low blood pressure, and an irregular heart rate. Concerns exist that injecting it into a joint can cause problems with the cartilage. Concentrated bupivacaine is not recommended for epidural freezing. Epidural freezing may also increase the length of labor. It is a local anaesthetic of the amide group.Bupivacaine was discovered in 1957. It is on the World Health Organization's List of Essential Medicines. Bupivacaine is available as a generic medication. An implantable formulation of bupivacaine (Xaracoll) was approved for medical use in the United States in August 2020."
Lidocaine,https://en.wikipedia.org/wiki/Lidocaine,Lidocaine,"Lidocaine, also known as lignocaine and sold under the brand name Xylocaine among others, is a local anesthetic of the amino amide type. It is also used to treat ventricular tachycardia. When used for local anaesthesia or in nerve blocks, lidocaine typically begins working within several minutes and lasts for half an hour to three hours. Lidocaine mixtures may also be applied directly to the skin or mucous membranes to numb the area. It is often used mixed with a small amount of adrenaline (epinephrine) to prolong its local effects and to decrease bleeding.If injected intravenously, it may cause cerebral effects such as confusion, changes in vision, numbness, tingling, and vomiting. It can cause low blood pressure and an irregular heart rate. There are concerns that injecting it into a joint can cause problems with the cartilage. It appears to be generally safe for use in pregnancy. A lower dose may be required in those with liver problems. It is generally safe to use in those allergic to tetracaine or benzocaine. Lidocaine is an antiarrhythmic medication of the class Ib type. This means it works by blocking sodium channels and thus decreasing the rate of contractions of the heart. When injected near nerves, the nerves cannot conduct signals to or from the brain.Lidocaine was discovered in 1946 and went on sale in 1948. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 337th most commonly prescribed medication in the United States, with more than 700 thousand prescriptions."
