code,source,title,definition,len
EA83,http://id.who.int/icd/entity/1276237557,Lichen simplex or lichenification,"If a circumscribed area of skin is subjected to repeated rubbing or scratching, localized epidermal thickening or lichenification will ensue. This may occur as a discrete patch within normal skin (lichen simplex) but frequently complicates eczema or other pruritic dermatoses.",40
EH70,http://id.who.int/icd/entity/810545508,Pigmentary abnormalities of skin due to drug,"Disturbances of skin colour due to an ingested or injected drug. These may result from a number of different mechanisms including the colour of the drug itself, disturbed melanization of the skin or deposition of pigments by drug breakdown products.",40
QA02,http://id.who.int/icd/entity/461464819,"Medical observation or evaluation for suspected diseases or conditions, ruled out","Persons without signs or symptoms or a diagnosis when suspected of having an abnormal condition which requires study, but who, after examination and observation, show no need for further treatment or medical care because suspected condition has been ruled out.’",40
LB56,http://id.who.int/icd/entity/1702110512,Bifid scrotum,A condition caused by failure of the scrotum to correctly develop during the antenatal period resulting in incomplete fusion of the labioscrotal folds. This condition in characterized by a deep midline cleft in the scrotum. This condition may be asymptomatic.,40
GB83,http://id.who.int/icd/entity/158151813,Nephronophthisis,"Autosomal recessive disease characterised by polyuria, polydipsia, enuresis and chronic kidney disease with end stage renal failure occurring between birth and late adolescence depending on the NPHP gene involved. Extra-renal manifestations occur with associated multisystem genetic disorders (e.g.Senior-Loken, Cogan, Joubert)",40
GB61,http://id.who.int/icd/entity/412389819,Chronic kidney disease,"GFR <60 or presence of kidney damage that is present for more than 3 months. Evidence of kidney damage can include structural abnormalities (imaging or histology), albuminuria above normal limits, urinary sediment abnormalities or electrolyte disturbances due to tubular disorders.",40
5D45,http://id.who.int/icd/entity/2019190826,Postprocedural testicular hypofunction,"A condition in men characterized by testosterone deficiency, caused by or subsequent to any intervention. This condition may present with fatigue, decreased libido, erectile dysfunction, negative mood states, decreased lean body mass, increased fat mass, or decreased bone mineral density.",40
8C74,http://id.who.int/icd/entity/1222696062,Periodic paralyses or disorders of muscle membrane excitability,"These are group of disorders caused by malfunctioning of the ion channels in skeletal muscle membranes causing the cells to depolarize leading to weakness or paralysis. The common triggers include cold, heat, high carbohydrate meals, stress, excitement, physical exertion etc..",40
2A52,http://id.who.int/icd/entity/2019647878,Myeloid or lymphoid neoplasms with FGFR1 abnormalities,"Hematologic neoplasms characterized by the rearrangement of the FGFR1 gene, resulting in translocations with an 8p11 breakpoint. Patients may present with a myeloproliferative neoplasm, acute myeloid leukemia, lymphoblastic lymphoma/leukemia of T or B-cell lineage, or acute leukemia of mixed phenotype.",40
BA85,http://id.who.int/icd/entity/508262464,Coronary vasospastic disease,"The term coronary vasospastic disease refers to a sudden, intense vasoconstriction of an epicardial coronary artery that causes vessel occlusion or near occlusion. Although it may be involved in other coronary syndromes, it represents the usual cause of variant angina.",40
KB22,http://id.who.int/icd/entity/677940606,Metabolic acidaemia in newborn,"Metabolic acidemia represents an increase in hydrogen ion concentration, usually due to the production of lactic acid following hypoxia or ischemia induced anaerobic metabolism. Acidemia can also result from inborn errors of metabolism, and disorders of the kidney and liver.",40
8A83,http://id.who.int/icd/entity/1350703173,Other primary headache disorder,"A group of clinically heterogeneous headache disorders, believed to be primary. Although largely unrelated, they fall into four categories: headaches associated with physical exertion; headaches attributed to direct physical but innocuous stimuli; epicranial headaches; and other miscellaneous primary headache disorders.",40
2A37,http://id.who.int/icd/entity/1684468291,"Myelodysplastic syndrome, unclassifiable","A subtype of myelodysplastic syndrome which at disease presentation lacks findings appropriate for classification into any other MDS category, or has an MDS-associated cytogenetic abnormality and cytopenia, but lack sufficient dysplastic changes in any lineage and have <15% ring sideroblasts.",40
KA21,http://id.who.int/icd/entity/1950379483,"Disorders of newborn related to short gestation or low birth weight, not elsewhere classified","Infants whose weight is appropriate for their gestational ages are termed appropriate for gestational age (AGA). Infants that are heavier than expected are large for gestational age (LGA). Conversely, those smaller than expected are considered small for gestational age (SGA).",40
1B50,http://id.who.int/icd/entity/107294155,Scarlet fever,"A disease caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterized by a sore throat, fever, and a red rash. Transmission is commonly by inhalation of infected respiratory secretions, direct skin contact, or indirect contact.",40
